pais,qtd_litros,vlr_usd,ano
Afeganistão,,,2015
África do Sul,,,2015
"Alemanha, República Democrática",10680,44780,2015
Angola,1908,17089,2015
Anguilla,,,2015
Antígua e Barbuda,,,2015
Antilhas Holandesas,6660,10545,2015
Arábia Saudita,,,2015
Argentina,,,2015
Aruba,,,2015
Austrália,7437,48011,2015
Áustria,,,2015
Bahamas,,,2015
Bangladesh,,,2015
Barbados,,,2015
Barein,,,2015
Bélgica,4473,26399,2015
Belice,,,2015
Benin,,,2015
Bermudas,,,2015
Bolívia,10674,12990,2015
Bósnia-Herzegovina,,,2015
Brasil,,,2015
Bulgária,,,2015
Cabo Verde,,,2015
Camarões,,,2015
Canadá,24547,118394,2015
Catar,,,2015
"Cayman, Ilhas",,,2015
Chile,,,2015
China,47609,222866,2015
Chipre,,,2015
Cingapura,1116,2774,2015
"Cocos (Keeling), Ilhas",,,2015
Colômbia,,,2015
Comores,,,2015
Congo,,,2015
"Coreia, Republica Sul",,,2015
Costa do Marfim,,,2015
Costa Rica,,,2015
Croácia,,,2015
Cuba,97965,108864,2015
Curaçao,,,2015
Dinamarca,7080,29306,2015
Dominica,,,2015
El Salvador,,,2015
Emirados Arabes Unidos,765,3740,2015
Equador,,,2015
"Eslovaca, Republica",,,2015
Espanha,,,2015
Estados Unidos,195896,524109,2015
Estônia,,,2015
Filipinas,,,2015
Finlândia,,,2015
França,1596,4749,2015
Gana,,,2015
Gibraltar,,,2015
Granada,,,2015
Grécia,,,2015
Guatemala,,,2015
Guiana,,,2015
Guiana Francesa,,,2015
Guine Bissau,,,2015
Guine Equatorial,,,2015
Haiti,,,2015
Honduras,,,2015
Hong Kong,1229,7837,2015
Hungria,,,2015
Ilha de Man,,,2015
Ilhas Virgens,,,2015
India,,,2015
Indonésia,,,2015
Irã,,,2015
Iraque,,,2015
Irlanda,,,2015
Itália,,,2015
Jamaica,,,2015
Japão,31597,87853,2015
Jordânia,,,2015
Letônia,,,2015
Líbano,,,2015
Libéria,,,2015
Luxemburgo,2295,17358,2015
Macau,,,2015
Malásia,,,2015
Malavi,,,2015
Malta,,,2015
"Marshall, Ilhas",,,2015
Martinica,,,2015
Mauritânia,,,2015
México,,,2015
Moçambique,,,2015
Montenegro,,,2015
Namíbia,,,2015
Nicarágua,,,2015
Nigéria,,,2015
Noruega,1058,6021,2015
Nova Caledônia,,,2015
Nova Zelândia,809,3476,2015
Omã,,,2015
Países Baixos,44987,186464,2015
Palau,,,2015
Panamá,,,2015
Paraguai,495428,741370,2015
Peru,,,2015
Pitcairn,,,2015
Polônia,11654,42781,2015
Porto Rico,,,2015
Portugal,47736,42586,2015
Quênia,,,2015
Reino Unido,68382,308407,2015
República Dominicana,,,2015
Rússia,47664,18240,2015
São Cristóvão e Névis,,,2015
São Tomé e Príncipe,,,2015
São Vicente e Granadinas,,,2015
Senegal,,,2015
Serra Leoa,,,2015
Singapura,,,2015
Suazilândia,,,2015
Suécia,1412,6404,2015
Suíça,15872,85790,2015
Suriname,453,713,2015
Tailândia,,,2015
Taiwan (Formosa),7200,23940,2015
Tanzânia,,,2015
"Tcheca, República",2297,15304,2015
Togo,,,2015
Toquelau,,,2015
Trinidade Tobago,,,2015
Tunísia,,,2015
Turquia,,,2015
Tuvalu,,,2015
Uruguai,,,2015
Vanuatu,,,2015
Venezuela,,,2015
Vietnã,,,2015
